UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/11/02T20:54:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,34,32,1023.23,4.63,26032,0,461,0.27,0.68,0.68,0.27,0.68,0.68,3,3,221.09,63.55,5.82,0.25,0.00,0.00,0.58,0.92,1.15,0.58,0.92,1.15,4,4,274.65,76.00,5.35,1.20,0.23,0.00,77.99
2025/11/02T20:56:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,59,35,31,1023.25,4.63,26344,0,581,0.15,0.75,1.27,0.15,0.75,1.27,3,3,225.61,60.68,5.05,1.64,0.80,0.24,0.44,0.65,1.11,0.44,0.65,1.11,3,3,243.42,67.23,7.70,0.84,0.67,0.18,77.24
2025/11/02T20:58:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,59,35,31,1023.27,4.63,26344,0,701,0.42,0.81,0.98,0.42,0.81,0.98,3,3,249.86,72.53,7.80,0.78,0.17,0.00,0.20,0.68,0.77,0.20,0.68,0.77,3,3,228.32,64.07,5.95,0.98,0.00,0.00,78.56
2025/11/02T21:00:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,36,31,1023.32,4.63,26344,0,821,0.40,0.60,0.60,0.40,0.60,0.60,3,3,227.79,65.17,4.71,0.62,0.00,0.00,0.92,1.00,1.13,0.92,1.00,1.13,4,4,294.30,77.80,6.33,0.42,0.17,0.00,77.84
2025/11/02T21:02:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,36,31,1023.30,4.63,26344,0,941,0.05,0.30,0.30,0.05,0.30,0.30,1,1,204.32,56.98,4.96,0.44,0.00,0.00,0.47,0.88,0.93,0.47,0.88,0.93,4,4,286.32,73.24,4.76,0.80,0.00,0.00,78.97
2025/11/02T21:04:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,59,36,32,1023.34,4.63,26344,0,1061,0.39,0.68,0.81,0.39,0.68,0.81,3,3,229.47,63.93,6.07,0.44,0.00,0.00,0.38,0.67,0.67,0.38,0.67,0.67,3,3,238.55,67.10,3.09,0.45,0.00,0.00,78.07
2025/11/02T21:06:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,59,35,31,1023.41,4.63,26344,0,1181,0.56,0.81,1.03,0.56,0.81,1.03,3,3,246.81,70.14,7.47,0.88,0.22,0.22,0.44,0.93,0.93,0.44,0.93,0.93,4,4,272.68,71.18,6.67,0.11,0.00,0.00,78.68
2025/11/02T21:07:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,36,31,1023.51,nan,26432,0,100,0.48,0.78,0.89,0.48,0.78,0.89,3,3,253.83,71.41,6.98,0.33,0.33,0.00,1.00,1.56,1.56,1.00,1.56,1.56,6,6,285.21,82.05,9.05,1.28,0.00,0.00,nan
2025/11/02T21:09:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,36,31,1023.58,4.63,26344,0,220,0.41,0.98,1.12,0.41,0.98,1.12,4,4,240.81,67.15,8.24,0.81,0.19,0.19,0.49,0.82,0.82,0.49,0.82,0.82,3,3,258.16,70.28,5.11,0.70,0.00,0.00,79.05
2025/11/02T21:11:48z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,57,37,31,1023.65,4.63,26344,0,340,0.18,0.61,0.84,0.18,0.61,0.84,3,3,213.64,60.75,5.11,1.41,0.23,0.00,0.53,0.71,0.71,0.53,0.71,0.71,3,3,258.00,73.88,4.76,0.00,0.00,0.00,80.20
